City,Date,Max Temperature,Min Temperature,Weather,Wind
北京,2023-01-01 星期日 ,4℃,-7℃,多云,西北风 1级
北京,2023-01-02 星期一 ,3℃,-8℃,多云,东风 1级
北京,2023-01-03 星期二 ,3℃,-8℃,多云,东北风 1级
北京,2023-01-04 星期三 ,5℃,-8℃,晴,东北风 1级
北京,2023-01-05 星期四 ,4℃,-6℃,多云,西南风 1级
北京,2023-01-06 星期五 ,9℃,-7℃,多云,东北风 1级
北京,2023-01-07 星期六 ,7℃,-6℃,多云,南风 1级
北京,2023-01-08 星期日 ,12℃,-5℃,晴,西南风 3级
北京,2023-01-09 星期一 ,8℃,-6℃,多云,西风 5级
北京,2023-01-10 星期二 ,7℃,-6℃,晴,东南风 4级
北京,2023-01-11 星期三 ,2℃,-4℃,多云,北风 1级
北京,2023-01-12 星期四 ,3℃,0℃,多云,北风 1级
北京,2023-01-13 星期五 ,7℃,-4℃,多云,东北风 2级
北京,2023-01-14 星期六 ,-2℃,-10℃,阴,西北风 4级
北京,2023-01-15 星期日 ,0℃,-10℃,晴,西风 2级
北京,2023-01-16 星期一 ,1℃,-8℃,晴,东北风 3级
北京,2023-01-17 星期二 ,3℃,-9℃,晴,西北风 2级
北京,2023-01-18 星期三 ,3℃,-6℃,晴,北风 1级
北京,2023-01-19 星期四 ,4℃,-9℃,晴,西北风 1级
北京,2023-01-20 星期五 ,-1℃,-9℃,晴,南风 1级
北京,2023-01-21 星期六 ,1℃,-9℃,晴,北风 1级
北京,2023-01-22 星期日 ,4℃,-8℃,多云,西北风 2级
北京,2023-01-23 星期一 ,-3℃,-14℃,多云,西北风 3级
北京,2023-01-24 星期二 ,-6℃,-13℃,晴,西南风 1级
北京,2023-01-25 星期三 ,-4℃,-10℃,多云,东北风 2级
北京,2023-01-26 星期四 ,1℃,-9℃,多云,西北风 2级
北京,2023-01-27 星期五 ,2℃,-9℃,晴,西风 3级
北京,2023-01-28 星期六 ,6℃,-5℃,晴,西南风 1级
北京,2023-01-29 星期日 ,10℃,-6℃,晴,北风 1级
北京,2023-01-30 星期一 ,8℃,-5℃,晴,东风 2级
北京,2023-01-31 星期二 ,14℃,-3℃,晴,北风 3级
北京,2023-02-01 星期三 ,4℃,-8℃,多云,东北风 2级
北京,2023-02-02 星期四 ,2℃,-7℃,多云,东北风 1级
北京,2023-02-03 星期五 ,5℃,-5℃,多云,东风 1级
北京,2023-02-04 星期六 ,9℃,-6℃,晴,南风 2级
北京,2023-02-05 星期日 ,6℃,-4℃,多云,东北风 1级
北京,2023-02-06 星期一 ,8℃,-5℃,多云,东南风 2级
北京,2023-02-07 星期二 ,6℃,-5℃,晴,东北风 1级
北京,2023-02-08 星期三 ,7℃,-2℃,多云,南风 2级
北京,2023-02-09 星期四 ,1℃,-5℃,多云,北风 2级
北京,2023-02-10 星期五 ,3℃,-3℃,多云,北风 2级
北京,2023-02-11 星期六 ,3℃,0℃,多云,东北风 2级
北京,2023-02-12 星期日 ,2℃,-4℃,大雪,北风 1级
北京,2023-02-13 星期一 ,6℃,-2℃,多云,西风 3级
北京,2023-02-14 星期二 ,4℃,-5℃,多云,南风 1级
北京,2023-02-15 星期三 ,4℃,-6℃,多云,西南风 2级
北京,2023-02-16 星期四 ,6℃,-4℃,多云,西南风 1级
北京,2023-02-17 星期五 ,5℃,-1℃,多云,东北风 1级
北京,2023-02-18 星期六 ,4℃,-5℃,多云,西北风 3级
北京,2023-02-19 星期日 ,11℃,-3℃,晴,北风 2级
北京,2023-02-20 星期一 ,6℃,-5℃,晴,西北风 2级
北京,2023-02-21 星期二 ,5℃,-3℃,多云,北风 1级
北京,2023-02-22 星期三 ,9℃,-2℃,多云,东北风 2级
北京,2023-02-23 星期四 ,10℃,0℃,多云,北风 2级
北京,2023-02-24 星期五 ,7℃,-5℃,多云,北风 2级
北京,2023-02-25 星期六 ,10℃,-4℃,晴,西南风 2级
北京,2023-02-26 星期日 ,11℃,-1℃,晴,南风 1级
北京,2023-02-27 星期一 ,12℃,1℃,多云,北风 1级
北京,2023-02-28 星期二 ,14℃,-1℃,多云,北风 2级
北京,2023-03-01 星期三 ,10℃,-3℃,晴,东北风 2级
北京,2023-03-02 星期四 ,14℃,0℃,晴,西北风 2级
北京,2023-03-03 星期五 ,20℃,0℃,晴,东北风 1级
北京,2023-03-04 星期六 ,16℃,0℃,多云~晴,北风 1级
北京,2023-03-05 星期日 ,11℃,2℃,多云~晴,北风 1级
北京,2023-03-06 星期一 ,23℃,3℃,多云~晴,西南风 1级
北京,2023-03-07 星期二 ,21℃,7℃,多云,东北风 1级
北京,2023-03-08 星期三 ,19℃,2℃,多云~晴,东南风 2级
北京,2023-03-09 星期四 ,19℃,6℃,多云~晴,东北风 1级
北京,2023-03-10 星期五 ,27℃,8℃,多云,北风 3级
北京,2023-03-11 星期六 ,14℃,1℃,多云~小雨,北风 4级
北京,2023-03-12 星期日 ,11℃,-1℃,多云,东南风 2级
北京,2023-03-13 星期一 ,15℃,3℃,多云,东北风 1级
北京,2023-03-14 星期二 ,21℃,1℃,扬沙~晴,北风 3级
北京,2023-03-15 星期三 ,11℃,-1℃,多云~晴,东北风 1级
北京,2023-03-16 星期四 ,11℃,1℃,多云,北风 1级
北京,2023-03-17 星期五 ,10℃,1℃,多云,北风 1级
北京,2023-03-18 星期六 ,17℃,1℃,多云~晴,西南风 2级
北京,2023-03-19 星期日 ,14℃,5℃,多云,北风 1级
北京,2023-03-20 星期一 ,16℃,7℃,多云,东北风 1级
北京,2023-03-21 星期二 ,18℃,10℃,多云,东南风 1级
北京,2023-03-22 星期三 ,15℃,4℃,多云,北风 2级
北京,2023-03-23 星期四 ,12℃,4℃,多云,西北风 2级
北京,2023-03-24 星期五 ,13℃,3℃,多云~阴,西北风 1级
北京,2023-03-25 星期六 ,15℃,-1℃,多云~晴,西南风 1级
北京,2023-03-26 星期日 ,16℃,3℃,多云~晴,西南风 3级
北京,2023-03-27 星期一 ,20℃,5℃,多云~晴,北风 3级
北京,2023-03-28 星期二 ,21℃,7℃,多云,北风 4级
北京,2023-03-29 星期三 ,25℃,10℃,多云~晴,西风 4级
北京,2023-03-30 星期四 ,25℃,11℃,多云~晴,西风 1级
北京,2023-03-31 星期五 ,23℃,10℃,多云,东南风 2级
北京,2023-04-01 星期六 ,22℃,12℃,多云,东南风 3级
北京,2023-04-02 星期日 ,20℃,13℃,多云~阴,东北风 4级
北京,2023-04-03 星期一 ,18℃,9℃,多云~小雨,北风 2级
北京,2023-04-04 星期二 ,12℃,6℃,小雨,北风 2级
北京,2023-04-05 星期三 ,17℃,9℃,多云~小雨,西风 0级
北京,2023-04-06 星期四 ,18℃,5℃,多云~晴,西北风 3级
北京,2023-04-07 星期五 ,16℃,4℃,晴,北风 3级
北京,2023-04-08 星期六 ,22℃,8℃,晴~多云,西南风 4级
北京,2023-04-09 星期日 ,22℃,10℃,多云,东南风 2级
北京,2023-04-10 星期一 ,28℃,11℃,多云,东南风 1级
北京,2023-04-11 星期二 ,18℃,5℃,多云~晴,西北风 5级
北京,2023-04-12 星期三 ,22℃,11℃,多云~晴,西风 2级
北京,2023-04-13 星期四 ,22℃,13℃,多云,西风 5级
北京,2023-04-14 星期五 ,20℃,8℃,多云~晴,南风 3级
北京,2023-04-15 星期六 ,20℃,7℃,多云~晴,东南风 3级
北京,2023-04-16 星期日 ,21℃,10℃,多云,西北风 3级
北京,2023-04-17 星期一 ,21℃,10℃,多云,东北风 2级
北京,2023-04-18 星期二 ,27℃,9℃,多云~晴,东北风 3级
北京,2023-04-19 星期三 ,26℃,16℃,多云~扬沙,南风 1级
北京,2023-04-20 星期四 ,18℃,12℃,多云~阴,东风 2级
北京,2023-04-21 星期五 ,14℃,8℃,多云~小雨,东南风 3级
北京,2023-04-22 星期六 ,14℃,7℃,多云,南风 1级
北京,2023-04-23 星期日 ,16℃,6℃,多云,西风 4级
北京,2023-04-24 星期一 ,17℃,8℃,多云~阴,东北风 3级
北京,2023-04-25 星期二 ,20℃,5℃,多云~晴,东北风 3级
北京,2023-04-26 星期三 ,19℃,10℃,多云,西南风 1级
北京,2023-04-27 星期四 ,20℃,12℃,多云~小雨,西南风 3级
北京,2023-04-28 星期五 ,21℃,11℃,雾~多云,西北风 2级
北京,2023-04-29 星期六 ,24℃,9℃,多云~晴,东风 3级
北京,2023-04-30 星期日 ,24℃,11℃,多云~晴,西南风 2级
北京,2023-05-01 星期一 ,25℃,16℃,多云~小雨,西北风 3级
北京,2023-05-02 星期二 ,28℃,16℃,多云~晴,东北风 3级
北京,2023-05-03 星期三 ,27℃,15℃,多云,东南风 2级
北京,2023-05-04 星期四 ,20℃,15℃,多云~小雨,西北风 2级
北京,2023-05-05 星期五 ,19℃,14℃,多云,西北风 2级
北京,2023-05-06 星期六 ,24℃,12℃,多云~晴,东风 1级
北京,2023-05-07 星期日 ,26℃,11℃,晴,南风 1级
北京,2023-05-08 星期一 ,28℃,13℃,多云,东南风 2级
