City,Date,Max Temperature,Min Temperature,Weather,Wind,Month
北京,2023-01-01,4,-7,多云,西北风 1级,1
北京,2023-01-02,3,-8,多云,东风 1级,1
北京,2023-01-03,3,-8,多云,东北风 1级,1
北京,2023-01-04,5,-8,晴,东北风 1级,1
北京,2023-01-05,4,-6,多云,西南风 1级,1
北京,2023-01-06,9,-7,多云,东北风 1级,1
北京,2023-01-07,7,-6,多云,南风 1级,1
北京,2023-01-08,12,-5,晴,西南风 3级,1
北京,2023-01-09,8,-6,多云,西风 5级,1
北京,2023-01-10,7,-6,晴,东南风 4级,1
北京,2023-01-11,2,-4,多云,北风 1级,1
北京,2023-01-12,3,0,多云,北风 1级,1
北京,2023-01-13,7,-4,多云,东北风 2级,1
北京,2023-01-14,-2,-10,阴,西北风 4级,1
北京,2023-01-15,0,-10,晴,西风 2级,1
北京,2023-01-16,1,-8,晴,东北风 3级,1
北京,2023-01-17,3,-9,晴,西北风 2级,1
北京,2023-01-18,3,-6,晴,北风 1级,1
北京,2023-01-19,4,-9,晴,西北风 1级,1
北京,2023-01-20,-1,-9,晴,南风 1级,1
北京,2023-01-21,1,-9,晴,北风 1级,1
北京,2023-01-22,4,-8,多云,西北风 2级,1
北京,2023-01-23,-3,-14,多云,西北风 3级,1
北京,2023-01-24,-6,-13,晴,西南风 1级,1
北京,2023-01-25,-4,-10,多云,东北风 2级,1
北京,2023-01-26,1,-9,多云,西北风 2级,1
北京,2023-01-27,2,-9,晴,西风 3级,1
北京,2023-01-28,6,-5,晴,西南风 1级,1
北京,2023-01-29,10,-6,晴,北风 1级,1
北京,2023-01-30,8,-5,晴,东风 2级,1
北京,2023-01-31,14,-3,晴,北风 3级,1
北京,2023-02-01,4,-8,多云,东北风 2级,2
北京,2023-02-02,2,-7,多云,东北风 1级,2
北京,2023-02-03,5,-5,多云,东风 1级,2
北京,2023-02-04,9,-6,晴,南风 2级,2
北京,2023-02-05,6,-4,多云,东北风 1级,2
北京,2023-02-06,8,-5,多云,东南风 2级,2
北京,2023-02-07,6,-5,晴,东北风 1级,2
北京,2023-02-08,7,-2,多云,南风 2级,2
北京,2023-02-09,1,-5,多云,北风 2级,2
北京,2023-02-10,3,-3,多云,北风 2级,2
北京,2023-02-11,3,0,多云,东北风 2级,2
北京,2023-02-12,2,-4,大雪,北风 1级,2
北京,2023-02-13,6,-2,多云,西风 3级,2
北京,2023-02-14,4,-5,多云,南风 1级,2
北京,2023-02-15,4,-6,多云,西南风 2级,2
北京,2023-02-16,6,-4,多云,西南风 1级,2
北京,2023-02-17,5,-1,多云,东北风 1级,2
北京,2023-02-18,4,-5,多云,西北风 3级,2
北京,2023-02-19,11,-3,晴,北风 2级,2
北京,2023-02-20,6,-5,晴,西北风 2级,2
北京,2023-02-21,5,-3,多云,北风 1级,2
北京,2023-02-22,9,-2,多云,东北风 2级,2
北京,2023-02-23,10,0,多云,北风 2级,2
北京,2023-02-24,7,-5,多云,北风 2级,2
北京,2023-02-25,10,-4,晴,西南风 2级,2
北京,2023-02-26,11,-1,晴,南风 1级,2
北京,2023-02-27,12,1,多云,北风 1级,2
北京,2023-02-28,14,-1,多云,北风 2级,2
北京,2023-03-01,10,-3,晴,东北风 2级,3
北京,2023-03-02,14,0,晴,西北风 2级,3
北京,2023-03-03,20,0,晴,东北风 1级,3
北京,2023-03-04,16,0,多云~晴,北风 1级,3
北京,2023-03-05,11,2,多云~晴,北风 1级,3
北京,2023-03-06,23,3,多云~晴,西南风 1级,3
北京,2023-03-07,21,7,多云,东北风 1级,3
北京,2023-03-08,19,2,多云~晴,东南风 2级,3
北京,2023-03-09,19,6,多云~晴,东北风 1级,3
北京,2023-03-10,27,8,多云,北风 3级,3
北京,2023-03-11,14,1,多云~小雨,北风 4级,3
北京,2023-03-12,11,-1,多云,东南风 2级,3
北京,2023-03-13,15,3,多云,东北风 1级,3
北京,2023-03-14,21,1,扬沙~晴,北风 3级,3
北京,2023-03-15,11,-1,多云~晴,东北风 1级,3
北京,2023-03-16,11,1,多云,北风 1级,3
北京,2023-03-17,10,1,多云,北风 1级,3
北京,2023-03-18,17,1,多云~晴,西南风 2级,3
北京,2023-03-19,14,5,多云,北风 1级,3
北京,2023-03-20,16,7,多云,东北风 1级,3
北京,2023-03-21,18,10,多云,东南风 1级,3
北京,2023-03-22,15,4,多云,北风 2级,3
北京,2023-03-23,12,4,多云,西北风 2级,3
北京,2023-03-24,13,3,多云~阴,西北风 1级,3
北京,2023-03-25,15,-1,多云~晴,西南风 1级,3
北京,2023-03-26,16,3,多云~晴,西南风 3级,3
北京,2023-03-27,20,5,多云~晴,北风 3级,3
北京,2023-03-28,21,7,多云,北风 4级,3
北京,2023-03-29,25,10,多云~晴,西风 4级,3
北京,2023-03-30,25,11,多云~晴,西风 1级,3
北京,2023-03-31,23,10,多云,东南风 2级,3
北京,2023-04-01,22,12,多云,东南风 3级,4
北京,2023-04-02,20,13,多云~阴,东北风 4级,4
北京,2023-04-03,18,9,多云~小雨,北风 2级,4
